position,club,points,expenditure_m,season
2,NA,79,0,2003/04
3,NA,75,0,2003/04
4,NA,60,0,2003/04
5,NA,56,0,2003/04
6,NA,56,0,2003/04
7,NA,53,0,2003/04
8,NA,53,0,2003/04
9,NA,52,0,2003/04
10,NA,50,0,2003/04
11,NA,48,0,2003/04
12,NA,47,0,2003/04
13,NA,45,0,2003/04
14,NA,45,0,2003/04
15,NA,44,0,2003/04
16,NA,41,0,2003/04
17,NA,39,0,2003/04
18,NA,33,0,2003/04
19,NA,33,0,2003/04
20,NA,33,0,2003/04
1,NA,95,0,2004/05
2,NA,83,0,2004/05
3,NA,77,0,2004/05
4,NA,61,0,2004/05
5,NA,58,0,2004/05
6,NA,58,0,2004/05
7,NA,55,0,2004/05
8,NA,52,0,2004/05
9,NA,52,0,2004/05
10,NA,47,0,2004/05
11,NA,46,0,2004/05
12,NA,45,0,2004/05
13,NA,44,0,2004/05
14,NA,44,0,2004/05
15,NA,42,0,2004/05
16,NA,39,0,2004/05
17,NA,34,0,2004/05
18,NA,33,0,2004/05
19,NA,33,0,2004/05
20,NA,32,0,2004/05
1,NA,91,0,2005/06
2,NA,83,0,2005/06
3,NA,82,0,2005/06
4,NA,67,0,2005/06
5,NA,65,0,2005/06
6,NA,63,0,2005/06
7,NA,58,0,2005/06
8,NA,56,0,2005/06
9,NA,55,0,2005/06
10,NA,51,0,2005/06
11,NA,50,0,2005/06
12,NA,48,0,2005/06
13,NA,47,0,2005/06
14,NA,45,0,2005/06
15,NA,43,0,2005/06
16,NA,42,0,2005/06
17,NA,38,0,2005/06
18,NA,34,0,2005/06
19,NA,30,0,2005/06
20,NA,15,0,2005/06
1,NA,89,0,2006/07
2,NA,83,0,2006/07
3,NA,68,0,2006/07
4,NA,68,0,2006/07
5,NA,60,0,2006/07
6,NA,58,0,2006/07
7,NA,56,0,2006/07
8,NA,55,0,2006/07
9,NA,54,0,2006/07
10,NA,52,0,2006/07
11,NA,50,0,2006/07
12,NA,46,0,2006/07
13,NA,43,0,2006/07
14,NA,42,0,2006/07
15,NA,41,0,2006/07
16,NA,39,0,2006/07
17,NA,38,0,2006/07
18,NA,38,0,2006/07
19,NA,34,0,2006/07
20,NA,28,0,2006/07
1,NA,87,0,2007/08
2,NA,85,0,2007/08
3,NA,83,0,2007/08
4,NA,76,0,2007/08
5,NA,65,0,2007/08
6,NA,60,0,2007/08
7,NA,58,0,2007/08
8,NA,57,0,2007/08
9,NA,55,0,2007/08
10,NA,49,0,2007/08
11,NA,46,0,2007/08
12,NA,43,0,2007/08
13,NA,42,0,2007/08
14,NA,40,0,2007/08
15,NA,39,0,2007/08
16,NA,37,0,2007/08
17,NA,36,0,2007/08
18,NA,36,0,2007/08
19,NA,35,0,2007/08
20,NA,11,0,2007/08
1,NA,90,0,2008/09
2,NA,86,0,2008/09
3,NA,83,0,2008/09
4,NA,72,0,2008/09
5,NA,63,0,2008/09
6,NA,62,0,2008/09
7,NA,53,0,2008/09
8,NA,51,0,2008/09
9,NA,51,0,2008/09
10,NA,50,0,2008/09
11,NA,45,0,2008/09
12,NA,45,0,2008/09
13,NA,41,0,2008/09
14,NA,41,0,2008/09
15,NA,41,0,2008/09
16,NA,36,0,2008/09
17,NA,35,0,2008/09
18,NA,34,0,2008/09
19,NA,32,0,2008/09
20,NA,32,0,2008/09
1,NA,86,0,2009/10
2,NA,85,0,2009/10
3,NA,75,0,2009/10
4,NA,70,0,2009/10
5,NA,67,0,2009/10
6,NA,64,0,2009/10
7,NA,63,0,2009/10
8,NA,61,0,2009/10
9,NA,50,0,2009/10
10,NA,50,0,2009/10
11,NA,47,0,2009/10
12,NA,46,0,2009/10
13,NA,44,0,2009/10
14,NA,39,0,2009/10
15,NA,38,0,2009/10
16,NA,36,0,2009/10
17,NA,35,0,2009/10
18,NA,30,0,2009/10
19,NA,30,0,2009/10
20,NA,19,0,2009/10
1,NA,80,0,2010/11
2,NA,71,0,2010/11
3,NA,71,0,2010/11
4,NA,68,0,2010/11
5,NA,62,0,2010/11
6,NA,58,0,2010/11
7,NA,54,0,2010/11
8,NA,49,0,2010/11
9,NA,48,0,2010/11
10,NA,47,0,2010/11
11,NA,47,0,2010/11
12,NA,46,0,2010/11
13,NA,46,0,2010/11
14,NA,46,0,2010/11
15,NA,43,0,2010/11
16,NA,42,0,2010/11
17,NA,40,0,2010/11
18,NA,39,0,2010/11
19,NA,39,0,2010/11
20,NA,33,0,2010/11
1,NA,89,0,2011/12
2,NA,89,0,2011/12
3,NA,70,0,2011/12
4,NA,69,0,2011/12
5,NA,65,0,2011/12
6,NA,64,0,2011/12
7,NA,56,0,2011/12
8,NA,52,0,2011/12
9,NA,52,0,2011/12
10,NA,47,0,2011/12
11,NA,47,0,2011/12
12,NA,47,0,2011/12
13,NA,45,0,2011/12
14,NA,45,0,2011/12
15,NA,43,0,2011/12
16,NA,38,0,2011/12
17,NA,37,0,2011/12
18,NA,36,0,2011/12
19,NA,31,0,2011/12
20,NA,25,0,2011/12
1,NA,89,0,2012/13
2,NA,78,0,2012/13
3,NA,75,0,2012/13
4,NA,73,0,2012/13
5,NA,72,0,2012/13
6,NA,63,0,2012/13
7,NA,61,0,2012/13
8,NA,49,0,2012/13
9,NA,46,0,2012/13
10,NA,46,0,2012/13
11,NA,44,0,2012/13
12,NA,43,0,2012/13
13,NA,42,0,2012/13
14,NA,41,0,2012/13
15,NA,41,0,2012/13
16,NA,41,0,2012/13
17,NA,39,0,2012/13
18,NA,36,0,2012/13
19,NA,28,0,2012/13
20,NA,25,0,2012/13
1,NA,86,0,2013/14
2,NA,84,0,2013/14
3,NA,82,0,2013/14
4,NA,79,0,2013/14
5,NA,72,0,2013/14
6,NA,69,0,2013/14
7,NA,64,0,2013/14
